game_version,mod_version,file_id,uploaded_at,file_name,file_url
"1.21.1","4.26.0","7021195","Sep 22, 2025","Super Factory Manager (SFM)-MC1.21.1-4.26.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/7021195"
"1.21","4.26.0","7021194","Sep 22, 2025","Super Factory Manager (SFM)-MC1.21-4.26.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/7021194"
"1.20.4","4.26.0","7021192","Sep 22, 2025","Super Factory Manager (SFM)-MC1.20.4-4.26.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/7021192"
"1.20.3","4.26.0","7021191","Sep 22, 2025","Super Factory Manager (SFM)-MC1.20.3-4.26.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/7021191"
"1.20.2","4.26.0","7021190","Sep 22, 2025","Super Factory Manager (SFM)-MC1.20.2-4.26.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/7021190"
"1.20.1","4.26.0","7021189","Sep 22, 2025","Super Factory Manager (SFM)-MC1.20.1-4.26.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/7021189"
"1.20","4.26.0","7021188","Sep 22, 2025","Super Factory Manager (SFM)-MC1.20-4.26.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/7021188"
"1.19.4","4.26.0","7021186","Sep 22, 2025","Super Factory Manager (SFM)-MC1.19.4-4.26.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/7021186"
"1.19.2","4.26.0","7021183","Sep 22, 2025","Super Factory Manager (SFM)-MC1.19.2-4.26.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/7021183"
"1.21.1","4.25.0","6954659","Sep 2, 2025","Super Factory Manager (SFM)-MC1.21.1-4.25.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6954659"
"1.21","4.25.0","6954654","Sep 2, 2025","Super Factory Manager (SFM)-MC1.21-4.25.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6954654"
"1.20.4","4.25.0","6954652","Sep 2, 2025","Super Factory Manager (SFM)-MC1.20.4-4.25.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6954652"
"1.20.3","4.25.0","6954651","Sep 2, 2025","Super Factory Manager (SFM)-MC1.20.3-4.25.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6954651"
"1.20.2","4.25.0","6954650","Sep 2, 2025","Super Factory Manager (SFM)-MC1.20.2-4.25.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6954650"
"1.20.1","4.25.0","6954649","Sep 2, 2025","Super Factory Manager (SFM)-MC1.20.1-4.25.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6954649"
"1.20","4.25.0","6954648","Sep 2, 2025","Super Factory Manager (SFM)-MC1.20-4.25.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6954648"
"1.19.4","4.25.0","6954647","Sep 2, 2025","Super Factory Manager (SFM)-MC1.19.4-4.25.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6954647"
"1.19.2","4.25.0","6954646","Sep 2, 2025","Super Factory Manager (SFM)-MC1.19.2-4.25.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6954646"
"1.21.1","4.24.0","6924252","Aug 24, 2025","Super Factory Manager (SFM)-MC1.21.1-4.24.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6924252"
"1.21","4.24.0","6924250","Aug 24, 2025","Super Factory Manager (SFM)-MC1.21-4.24.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6924250"
"1.20.4","4.24.0","6924249","Aug 24, 2025","Super Factory Manager (SFM)-MC1.20.4-4.24.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6924249"
"1.20.3","4.24.0","6924245","Aug 24, 2025","Super Factory Manager (SFM)-MC1.20.3-4.24.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6924245"
