"game","mod","page","downloadUrl"
"1.21.1","4.26.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/Za3Yr2ba/Super%20Factory%20Manager%20%28SFM%29-MC1.21.1-4.26.0.jar"
"1.21","4.26.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/1vFc9Fjb/Super%20Factory%20Manager%20%28SFM%29-MC1.21-4.26.0.jar"
"1.20.4","4.26.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/lqn122ZC/Super%20Factory%20Manager%20%28SFM%29-MC1.20.4-4.26.0.jar"
"1.20.3","4.26.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/fpQI0XVv/Super%20Factory%20Manager%20%28SFM%29-MC1.20.3-4.26.0.jar"
"1.20.2","4.26.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/C8SOEpYO/Super%20Factory%20Manager%20%28SFM%29-MC1.20.2-4.26.0.jar"
"1.20.1","4.26.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/JHBl4rLT/Super%20Factory%20Manager%20%28SFM%29-MC1.20.1-4.26.0.jar"
"1.20","4.26.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/TeDeoMon/Super%20Factory%20Manager%20%28SFM%29-MC1.20-4.26.0.jar"
"1.19.4","4.26.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/ZOcIVkhZ/Super%20Factory%20Manager%20%28SFM%29-MC1.19.4-4.26.0.jar"
"1.19.2","4.26.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/X856wy1z/Super%20Factory%20Manager%20%28SFM%29-MC1.19.2-4.26.0.jar"
"1.21.1","4.25.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/YwuqItoS/Super%20Factory%20Manager%20%28SFM%29-MC1.21.1-4.25.0.jar"
"1.21","4.25.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/iAgVABSG/Super%20Factory%20Manager%20%28SFM%29-MC1.21-4.25.0.jar"
"1.20.4","4.25.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/TVXBFThT/Super%20Factory%20Manager%20%28SFM%29-MC1.20.4-4.25.0.jar"
"1.20.3","4.25.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/oE7eCHul/Super%20Factory%20Manager%20%28SFM%29-MC1.20.3-4.25.0.jar"
"1.20.2","4.25.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/KSS0xDSA/Super%20Factory%20Manager%20%28SFM%29-MC1.20.2-4.25.0.jar"
"1.20.1","4.25.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/3xchyy3R/Super%20Factory%20Manager%20%28SFM%29-MC1.20.1-4.25.0.jar"
"1.20","4.25.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/4osBgTPB/Super%20Factory%20Manager%20%28SFM%29-MC1.20-4.25.0.jar"
"1.19.4","4.25.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/iUu8qE18/Super%20Factory%20Manager%20%28SFM%29-MC1.19.4-4.25.0.jar"
"1.19.2","4.25.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/UJFS38Gy/Super%20Factory%20Manager%20%28SFM%29-MC1.19.2-4.25.0.jar"
"1.21.1","4.24.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/HnzHij1h/Super%20Factory%20Manager%20%28SFM%29-MC1.21.1-4.24.0.jar"
"1.21","4.24.0","1","https://cdn.modrinth.com/data/aecUorJQ/versions/sum9EwT7/Super%20Factory%20Manager%20%28SFM%29-MC1.21-4.24.0.jar"
"1.20.4","4.24.0","2","https://cdn.modrinth.com/data/aecUorJQ/versions/78hVwoYw/Super%20Factory%20Manager%20%28SFM%29-MC1.20.4-4.24.0.jar"
"1.20.3","4.24.0","2","https://cdn.modrinth.com/data/aecUorJQ/versions/GM6PnPmD/Super%20Factory%20Manager%20%28SFM%29-MC1.20.3-4.24.0.jar"
"1.20.2","4.24.0","2","https://cdn.modrinth.com/data/aecUorJQ/versions/cQke0yar/Super%20Factory%20Manager%20%28SFM%29-MC1.20.2-4.24.0.jar"
"1.20.1","4.24.0","2","https://cdn.modrinth.com/data/aecUorJQ/versions/3OKUNebp/Super%20Factory%20Manager%20%28SFM%29-MC1.20.1-4.24.0.jar"
"1.20","4.24.0","2","https://cdn.modrinth.com/data/aecUorJQ/versions/XzdjL7OP/Super%20Factory%20Manager%20%28SFM%29-MC1.20-4.24.0.jar"
"1.19.4","4.24.0","2","https://cdn.modrinth.com/data/aecUorJQ/versions/5XNKqdGK/Super%20Factory%20Manager%20%28SFM%29-MC1.19.4-4.24.0.jar"
"1.19.2","4.24.0","2","https://cdn.modrinth.com/data/aecUorJQ/versions/D9vORLUs/Super%20Factory%20Manager%20%28SFM%29-MC1.19.2-4.24.0.jar"
"1.21.1","4.23.0","2","https://cdn.modrinth.com/data/aecUorJQ/versions/LdFDJfaQ/Super%20Factory%20Manager%20%28SFM%29-MC1.21.1-4.23.0.jar"
